日本国民は、正当に選挙された	にほんこくみんは、せいとうにせんきょされた
国会における代表者を通じて行動し、	こっかいにおけるだいひょうしゃをつうじてこうどうし、
われらとわれらの子孫のために、	われらとわれらのしそんのために、
諸国民との協和による成果と、	しょこくみんとのきょうわによるせいかと、
わが国全土にわたって	わがくにぜんどにわたって
自由のもたらす恵沢を確保し、	じゆうのもたらすけいたくをかくほし、
政府の行為によって再び戦争の惨禍が	せいふのこういによってふたたびせんそうのさんかが
起ることのないようにすることを決意し、	おこることのないようにすることをけついし、
ここに主権が	ここにしゅけんが
国民に存することを宣言し、	こくみんにそんすることをせんげんし、
この憲法を確定する。	このけんぽうをかくていする。
そもそも国政は、	そもそもこくせいは、
国民の厳粛な信託によるものであって、	こくみんのげんしゅくなしんたくによるものであって、
その権威は国民に由来し、	そのけんいはこくみんにゆらいし、
その権力は国民の代表者が	そのけんりょくはこくみんのだいひょうしゃが
これを行使し、	これをこうしし、
その福利は国民がこれを享受する。	そのふくりはこくみんがこれをきょうじゅする。
これは人類普遍の原理であり、	これはじんりふへんのげんりであり、
この憲法は、	このけんぽうは、
かかる原理に基くものである。	かかるげんりにもとづくものである。
われらは、これに反する一切の憲法、	われらは、これにはんするいっさいのけんぽう、
法令及び詔勅を排除する。	ほうれいおよびしょうちょくをはいじょする。
日本国民は、恒久の平和を念願し、	にほんこくみんは、こうきゅうのへいわをねんがんし、
人間相互の関係を支配する	にんげんそうごのかんけいをしはいする
崇高な理想を深く自覚するのであって、	すうこうなりそうをふかくじかくするのであって、
平和を愛する諸国民の	へいわをあいするしょこくみんの
公正と信義に信頼して、	こうせいとしんぎにしんらいして、
われらの安全と生存を	われらのあんぜんとせいぞんを
保持しようと決意した。	ほじしようとけついした。
われらは、平和を維持し、	われらはへいわをいじし、
専制と隷従、圧迫と偏狭を	せんせいをれいじゅう、あっぱくとへんきょうを
地上から永遠に除去しようと	ちじょうからえいえんにじょきょしようと
努めている国際社会において、	つとめているこくさいしゃかいにおいて、
名誉ある地位を占めたいと思う。	めいよあるちいをしめたいとおもう。
われらは、全世界の国民が、	われらは、ぜんせかいのこくみんが、
ひとしく恐怖と欠乏から免がれ、	ひとしくきょうふとけつぼうからまぬがれ、
平和のうちに生存する権利を	へいわのうちにせいぞんするけんりを
有することを確認する。	ゆうすることをかくにんする。
われらは、いずれの国家も、	われらは、いずれのこっかも、
自国のことのみに専念して	じこくのことのみにせんねんして
他国を無視してはならないのであって、	たこくをむししてはならないのであって、
政治道徳の法則は、	せいじどうとくのほうそくは、
普遍的なものであり、	ふへんてきなものであり、
この法則に従うことは、	このほうそくにしたがうことは、
自国の主権を維持し、	じこくのしゅけんをいじし、
他国と対等関係に立とうとする	たこくとたいとうかんけいにたとうとする
各国の責務であると信ずる。	かっこくのせきむであるとしんずる。
日本国民は、国家の名誉にかけ、	にほんこくみんは、こっかのめいよにかけ、
全力をあげてこの崇高な理想と	ぜんりょくをあげてこのすうこうなりそうと
目的を達成することを誓う。	もくてきをたっせいすることをちかう。
