春はあけぼの。	はるはあけぼの。
ようよう白くなりゆく山ぎわ、少し明かりて、	ようようしろくなりゆくやまぎわ、すこしあかりて、
紫だちたる雲の細くたなびきたる。	むらさきだちたるくものほそくたなびきたる。
夏は夜。	なつはよる。
月のころはさらなり。	つきのころはさらなり。
やみもなお、蛍の多く飛びちがいたる。	やみもなお、ほたるのおおくとびちがいたる。
また、ただ一つ二つなど、	また、ただひとつふたつなど、
ほのかにうち光りて行くもをかし。	ほのかにうちひかりていくもをかし。
雨など降るもをかし。	あめなどふるもをかし。
秋は夕暮れ。	あきはゆうぐれ。
夕日の差して山の端いと近うなりたるに、	ゆうひのさしてやまのはいとちこうなりたるに、
烏の寝所へ行くとて、三つ四つ、	からすのねどころへいくとて、みつよつ、
二つ三つなど飛び急ぐさえあわれなり。	ふたつみつなどとびいそぐさえあわれなり。
まいて雁などの連ねたるが、	まいてかりなどのつらねたるが、
いと小さく見ゆるは、いとをかし。	いとちいさくみゆるは、いとをかし。
日入り果てて、風の音、虫の音など、	ひいりはてて、かぜのおと、むしのねなど、
はた言うべきにあらず。	はたいうべきにあらず。
冬はつとめて。	ふゆはつとめて。
雪の降りたるは、言うべきにもあらず、	ゆきのふりたるは、いうべきにもあらず、
霜のいと白きも、またさらでも、いと寒きに、	しものいとしろきも、またさらでも、いとさむきに、
火など急ぎおこして、	ひなどいそぎおこして、
炭持て渡るも、いとつきづきし。	すみもてわたるも、いとつきづきし。
昼になりて、ぬるくゆるびもていけば、	ひるになりて、ぬるくゆるびもていけば、
火桶の火も、白き灰がちになりてわろし。	ひおけのひも、しろきはいがちになりてわろし。
