月日は百代の過客にして、	つきひははくたいのかかくにして、
行きこう年もまた旅人なり。	ゆきこうとしもまたたびびとなり。
舟の上に生涯を浮かべ、	ふねのうえにしょうがいをうかべ、
馬の口とらえて老いを迎うる者は、	うまのくちとらえておいをむこうるものは、
日々旅にして旅を栖とす。	ひびたびにしてたびをすみかとす。
古人も多く旅に死せるあり。	こじんもおおくたびにしせるあり。
予もいづれの年よりか、	よもいづれのとしよりか、
片雲の風に誘われて、	へんうんのかぜにさそわれて、
漂泊の思いやまず、海浜にさすらえ、	ひょうはくのおもいやまず、かいひんにさすらえ、
去年の秋、	こぞのあき、
江上の破屋に蜘の古巣をはらいて、	こうしょうのはおくにくものふるすをはらいて、
やや年も暮れ、春立てる霞の空に、	ややとしもくれ、はるたてるかすみのそらに、
白河の関こえんと、	しらかわのせきこえんと、
そぞろ神の物につきて心を狂わせ、	そぞろがみのものにつきてこころをくるわせ、
道祖神の招きにあいて取るもの手につかず、	どうそじんのまねきにあいてとるものてにつかず、
股引の破れをつづり笠の緒付かえて、	ももひきのやぶれをつづりかさのおつけかえて、
三里に灸すゆるより、	さんりにきゅうすゆるより、
松島の月まず心にかかりて、	まつしまのつきまずこころにかかりて、
住める方は人に譲り、	すめるかたはひとにゆずり、
杉風が別墅に移るに、	さんぷうがべっしょにうつるに、
草の戸も住替わる代ぞひなの家	くさのともすみかわるよぞひなのいえ
面八句を庵の柱に懸置。	おもてはちくをいおりのはしらにかけおく。
