日直の心得	にっちょくのこころえ
1 日直制度の目的	にっちょくせいどのもくてき
(1) ホームルームの全員がホームルームのために	ホームルームのぜんいんがホームルームのために
奉仕する機会を持ち、奉仕の精神を強める。	ほうしするきかいをもち、ほうしのせいしんをつよめる。
(2) 学習の環境を整え、掲示や伝達を	がくしゅうのかんきょうをととのえ、けいじやでんたつを
徹底して学校活動を円滑にし、	てっていしてがっこうかつどうをえんかつにし、
学習効果を高める。	がくしゅうこうかをたかめる。
(3) ホームルーム担任教師に	ホームルームたんにんきょうしに
個別的に接する機会をつくる。	こべつてきにせっするきかいをつくる。
2 各ホームルームごとに日直を置く	かくホームルームごとににっちょくをおく
3 日直の任務	にっちょくのにんむ
(1) 毎朝職員室に行って、	まいあさしょくいんしつにいって、
ホームルーム担任教師から	ホームルームたんにんきょうしから
ホームルーム日誌を受け取り記入して	ホームルームにっしをうけとりきにゅうして
放課後ホームルーム担任に提出し、	ほうかごホームルームたんにんにていしゅつし、
必要事項あれば報告しその指示を受ける。	ひつようじこうあればほうこくしそのしじをうける。
(2) 授業の準備（教卓の整頓、黒板、	じゅぎょうのじゅんび（きょうたくのせいとん、こくばん、
黒板ふきの整備、机の配列、	こくばんふきのせいび、つくえのはいれつ、
窓の開閉など）を行う。	まどのかいへいなど）をおこなう。
(3) 教室内の学習環境の整備に	きょうしつないのがくしゅうかんきょうのせいびに
率先して奉仕する。	そっせんしてほうしする。
(4) 毎日放課後の清掃当番に協力し、	まいにちほうかごのせいそうとうばんにきょうりょくし、
終了したら清掃用具の整理整頓	しゅうりょうしたらせいそうようぐのせいりせいとん
戸締まりを点検して、日誌に記入し	とじまりをてんけんして、にっしにきにゅうし
ホームルーム担任に報告する。	ホームルームたんにんにほうこくする。
(5) 教室の机、椅子の定数に注意し、	きょうしつのつくえ、いすのていすうにちゅういし、
過不足あればただちにホームルーム担任に	かぶそくあればただちにホームルームたんにんに
報告してその指示に従う。	ほうこくしてそのしじにしたがう。
(6) 掲示・伝達の徹底をはかるなど、ホームルーム	けいじ・でんたつのてっていをはかるなど、ホームルーム
役員、各種委員に協力する。	やくいん、かくしゅいいんにきょうりょくする。
