食堂利用の心得	しょくどうりようのこころえ
1 食堂利用は次のとおりとする。	しょくどうりようはつぎのとおりとする。
(1) 平日は、昼の休憩時及び放課後より	へいじつは、ひるのきゅうけいじおよびほうかごより
午後5時まで（ただし、10月～3月までは	ごご5じまで（ただし、10がつ～3がつまでは
午後4時まで）	ごご4じまで）
2 食堂ではセルフサービスを旨とし、	しょくどうではセルフサービスをむねとし、
すべて順序よく整列し、	すべてじゅんじょよくせいれつし、
食事終了後は各自で食器類を	しょくじしゅうりょうごはかくじでしょっきるいを
所定の場所に返却すること。	しょていのばしょにへんきゃくすること。
3 購入した飲食物は、	こうにゅうしたいんしょくぶつは、
食堂外に一切持ち出さないこと。	しょくどうがいにいっさいもちださないこと。
4 食堂内では、従業員の	しょくどうないでは、じゅうぎょういんの
指示に従うこと。	しじにしたがうこと。
5 利用時間を厳守すること。	りようじかんをげんしゅすること。
とくに授業に支障をきたさないように、	とくにじゅぎょうにししょうをきたさないように、
余裕をもって時間内に利用すること。	よゆうをもってじかんないにりようすること。
6 食堂内では、常に清潔であるように、	しょくどうないでは、つねにせいけつであるように、
各自心がけなければならない。	かくじこころがけなければならない。
7 食堂内及び食堂前通路は、	しょくどうないおよびしょくどうまえつうろは、
土足を厳禁する。	どそくをげんきんする。
ただし、食堂前通路で	ただし、しょくどうまえつうろで
特別許可した部分はこの限りではない。	とくべつきょかしたぶぶんはこのかぎりではない。
8 食堂外自動販売機の利用は	しょくどうがいじどうはんばいきのりようは
次のとおりとする。	つぎのとおりとする。
(1) 利用時間は始業前、	りようじかんはしぎょうまえ、
各休憩時及び放課後。	かくきゅうけいじおよびほうかご。
(2) 自動販売機設置場所で利用し、	じどうはんばいきせっちばしょでりようし、
他の場所へ持ち出さないこと。	ほかのばしょへもちださないこと。
(3) 自動販売機利用後は、	じどうはんばいきりようごは、
紙パック・紙コップなどを	かみパック・かみコップなどを
所定の場所に始末すること。	しょていのばしょにしまつすること。
