第1節 生徒総会	せいとそうかい
第10条 総会は本会の最高議決機関である。	そうかいはほんかいのさいこうぎけつきかんである。
第11条 総会には定期総会と臨時総会とがある。	そうかいにはていきそうかいとりんじそうかいとがある。
定期総会は年1回6月、臨時総会は	ていきそうかいはねん1かい6がつ、りんじそうかいは
次の場合にそれぞれ会長が招集する。	つぎのばあいにそれぞれかいちょうがしょうしゅうする。
(1) 会員の3分の1以上の要求があったとき。	かいいんの3ぶんの1いじょうのようきゅうがあったとき。
(2) 代議委員会が開催の必要を認めたとき。	だいぎいいんかいがかいさいのひつようをみとめたとき。
(3) 執行委員会が開催の必要を認めたとき。	しっこういいんかいがかいさいのひつようをみとめたとき。
第12条 総会は次の事項を決議する。	そうかいはつぎのじこうをけつぎする。
(1) 会則、細則の改定。	かいそく、さいそくのかいてい。
(2) 予算決議に関する事項。	よさんけつぎにかんするじこう。
(3) 部の設置廃止に関する事項。	ぶのせっちはいしにかんするじこう。
(4) その他本会に関する重要事項。	そのたほんかいにかんするじゅうようじこう。
第2節 代議員会	だいぎいんかい
第13条 代議員会は総会に次ぐ議決機関である。	だいぎいんかいはそうかいにつぐぎけつきかんである。
第14条 代議員会は各学級	だいぎいんかいはかくがっきゅう
代表3名によって構成される。	だいひょう3めいによってこうせいされる。
第15条 代議員会は第12条第1項以外の	だいぎいんかいはだい12じょうだい1こういがいの
事項について総会に代えることができる。	じこうについてそうかいにかえることができる。
なお代議員会において議決を要する	なおだいぎいんかいにおいてぎけつをようする
事項についてはあらかじめホームルームで	じこうについてはあらかじめホームルームで
十分討議されなければならない。	じゅうぶんとうぎされなければならない。
第3節 執行委員会	しっこういいんかい
第16条 執行委員会は第27条に	しっこういいんかいはだい27じょうに
規定する役員をもって構成される。	きていするやくいんをもってこうせいされる。
第17条 執行委員会は本会の総意を	しっこういいんかいはほんかいのそういを
代表する執行機関である。	だいひょうするしっこうきかんである。
その目的は本会の活動を統轄し、	そのもくてきはほんかいのかつどうをとうかつし、
その推進をはかることにある。	そのすいしんをはかることにある。
第18条 執行委員会は会長の	しっこういいんかいはかいちょうの
招集によって随時開かれる。	しょうしゅうによってずいじひらかれる。
