第19条 執行委員会は第17条によって	しっこういいんかいはだい17じょうによって
次の事項を決め、各機関とともに	つぎのじこうをきめ、かくきかんとともに
その執行にあたる。	そのしっこうにあたる。
(1) 総会又は代議員会提出事項。	そうかいまたはだいぎいんかいていしゅつじこう。
(2) 総会又は代議員会による付託された事項。	そうかいまたはだいぎいんかいによるふたくされたじこう。
(3) 生徒会活動に関する事項。	せいとかいかつどうにかんするじこう。
(4) その他緊急を要する事項。	そのたきんきゅうをようするじこう。
第4節 会計監査委員会	かいけいかんさいいんかい
第20条 会計監査委員会は代議員会から	かいけいかんさいいんかいはだいぎいんかいから
選出された3名によって構成される。	せんしゅつされた3めいによってこうせいされる。
第21条 会計監査委員会は、	かいけいかんさいいんかいは、
本会の会計監査を担当し、	ほんかいのかいけいかんさをたんとうし、
会計業務及び決算表の	かいけいぎょうむおよびけっさんひょうの
監査に関する事項を行い、	かんさにかんするじこうをおこない、
その結果を総会に報告する。	そのけっかをそうかいにほうこくする。
第5節 選挙管理委員会	せんきょかんりいいんかい
第22条 選挙管理委員会は	せんきょかんりいいんかいは
選挙管理委員会規則に	せんきょかんりいいんかいきそくに
定められた役員によって構成される。	さだめられたやくいんによってこうせいされる。
第23条 選挙管理委員会は	せんきょかんりいいんかいは
選挙管理委員会規則に	せんきょかんりいいんかいきそくに
基づき次期執行委員会役員選挙に	もとづきじきしっこういいんかいやくいんせんきょに
関する一切の事項を管理執行し、	かんするいっさいのじこうをかんりしっこうし、
その結果を全会員に報告する。	そのけっかをぜんかいいんにほうこくする。
第6節 各種委員会	かくしゅいいんかい
第24条 各種委員会は各学級の該当委員と	かくしゅいいんかいはかくがっきゅうのがいとういいんと
執行委員会役員の	しっこういいんかいやくいんの
該当部委員とによって構成される。	がいとうぶいいんとによってこうせいされる。
第25条 各種委員会は総会又は	かくしゅいいんかいはそうかいまたは
代議委員会に必要な具体案を提出し、	だいぎいいんかいにひつようなぐたいあんをていしゅつし、
そこで議決された事項を	そこでぎけつされたじこうを
執行委員会と協力して執行する。	しっこういいんかいときょうりょくしてしっこうする。
