第26条 各種委員会には次のものが設置され	かくしゅいいんかいにはつぎのものがせっちされ
第25条に基づいてそれぞれ活動する。	だい25じょうにもとづいてそれぞれかつどうする。
(1) 文化委員会	ぶんかいいんかい
文化各部の統率、校内文化活動に	ぶんかかくぶのとうそつ、こうないぶんかかつどうに
関する一切の事項を行う。	かんするいっさいのじこうをおこなう。
(2) 美化委員会	びかいいんかい
校内の美化に関する一切の事項を行う。	こうないのびかにかんするいっさいのじこうをおこなう。
(3) 体育委員会	たいいくいいんかい
体育各部の統率、校内体育活動に	たいいくかくぶのとうそつ、こうないたいいくかつどうに
関する一切の事項を行う。	かんするいっさいのじこうをおこなう。
(4) 保健委員会	ほけんいいんかい
会員の健康を維持増進させるため	かいいんのけんこうをいじぞうしんさせるため
保健衛生に関する一切の事項を行う。	ほけんえいせいにかんするいっさいのじこうをおこなう。
(5) 風紀委員会	ふうきいいんかい
風紀に関する事項を行う。	ふうきにかんするじこうをおこなう。
(6) 図書委員会	としょいいんかい
会員の図書利用をはかり	かいいんのとしょりようをはかり
全体の知識教養の向上につとめる。	ぜんたいのちしききょうようのこうじょうにつとめる。
(7) 交通委員会	こうつういいんかい
会員の交通安全に関する	かいいんのこうつうあんぜんにかんする
一切の事項を行う。	いっさいのじこうをおこなう。
(8)ホームルーム委員会	ホームルームいいんかい
会員の生徒会活動に対する	かいいんのせいとかいかつどうにたいする
正しい理解のための一切の事項を行う。	ただしいりかいのためのいっさいのじこうをおこなう。
第3章 役員	やくいん
第1節 執行委員会役員	しっこういいんかいやくいん
第27条 本会執行委員会に次の役員を置く。	ほんかいしっこういいんかいにつぎのやくいんをおく。
会長1名、副会長2名、	かいちょう1めい、ふくかいちょう2めい、
庶務5名、会計2名。	しょむ5めい、かいけい2めい。
第28条 会長は全会員中から選出され、	かいちょうはぜんかいいんちゅうからせんしゅつされ、
本会に関する一切の事項に関して	ほんかいにかんするいっさいのじこうにかんして
最高の責任を負う。	さいこうのせきにんをおう。
第29条 副会長は会長を補佐して	ふくかいちょうはかいちょうをほさして
本会に関する事項を行う。	ほんかいにかんするじこうをおこなう。
なお副会長2名のうち1名は文化関係、	なおふくかいちょう2めいのうち1めいはぶんかかんけい、
他は体育関係を担当しそれぞれ	ほかはたいいくかんけいをたんとうしそれぞれ
文化部長、体育部長を兼ねる。	ぶんかぶちょう、たいいくぶちょうをかねる。
第30条 会長副会長3名は	かいちょうふくかいちょう3めいは
同性のみで構成しない。	どうせいのみでこうせいしない。
