生徒会会則	せいとかいかいそく
第1章 総則	そうそく
第1条 本会は兵庫県淡路三原	ほんかいはひょうごけんあわじみはら
高等学校生徒会と称する。	こうとうがっこうせいとかいとしょうする。
第2条 本会は本校生徒全員が組織する。	ほんかいはほんこうせいとぜんいんがそしきする。
第3条 本会は会員相互の人格を尊重し、	ほんかいはかいいんそうごのじんかくをそんちょうし、
健全な自立自治の学校生活を	けんぜんなじりつじちのがっこうせいかつを
主体的に築くことを目的とする。	しゅたいてきにきずくことをもくてきとする。
会員は目的達成のため	かいいんはもくてきたっせいのため
最善の努力を払うものとする。	さいぜんのどりょくをはらうものとする。
第4条 本会会員は生徒としての	ほんかいかいいんはせいととしての
本分に基づくかぎり、	ほんぶんにもとづくかぎり、
学校内部の団体の結成、	がっこうないぶのだんたいのけっせい、
加入集会及び言論その他	かにゅうしゅうかいおよびげんろんそのた
表現の自由を侵されない。	ひょうげんのじゆうをおかされない。
第2章 機関	きかん
第5条 本会には次の機関を置く。	ほんかいにはつぎのきかんをおく。
(1) 生徒総会	せいとそうかい
(2) 代議員会	だいぎいんかい
(3) 執行委員会	しっこういいんかい
(4) 会計監査委員会	かいけいかんさいいんかい
(5) 各種委員会	かくしゅいいんかい
(6) 選挙管理委員会	せんきょかんりいいんかい
第6条 必要な場合、合同委員会や	ひつようなばあい、ごうどういいんかいや
臨時の委員会を設けることができる。	りんじのいいんかいをもうけることができる。
第7条 会議は構成員の3分の2以上の	かいぎはこうせいいんの３ぶんの２いじょうの
出席によって成立する。	しゅっせきによってせいりつする。
ただし	ただし
(1) 定員に満たない場合は予備会として	ていいんにみたないばあいはよびかいとして
出席者から参考意見を	しゅっせきしゃからさんこういけんを
聴取することができる。	ちょうしゅすることができる。
(2) 3年が登校しなくなる日以降は	３ねんがとうこうしなくなるひいこうは
3年は構成員から除く。	３ねんはこうせいいんからのぞく。
第8条 会議の議長、副議長、書記は	かいぎのぎちょう、ふくぎちょう、しょきは
執行委員会が推薦し、	しっこういいんかいがすいせんし、
出席者の承認を受ける。	しゅっせきしゃのしょうにんをうける。
第9条 会議の議決は多数決による。	かいぎのぎけつはたすうけつによる。
可否同数の場合は議長が採決する。	かひどうすうのばあいはぎちょうがさいけつする。
なお総会の議決は	なおそうかいのぎけつは
出席者の3分の2以上の	しゅっせきしゃの３ぶんの２いじょうの
多数の賛同を要する。	たすうのさんどうをようする。
