壁に耳あり	Wall has ears.
鉄は熱いうちに打て	Strike while the iron is hot.
郷に入っては郷に従え	When in Rome, do as the Romans do.
猿も木から落ちる	Anybody can make a mistake.
泣きっ面に蜂	To add insult to injury.
学問に王道なし	There is no royal road to learning.
習うより慣れよ	Practice makes perfect.
虎穴に入らずんば虎児を得ず	Nothing ventured, nothing gained.
勝てば官軍	Might is right.
火の無い所に煙は立たぬ	There is no smoke without fire.
亀の甲より年の功	The older, the wiser.
所変われば品変わる	So many countries, so many customs.
短気は損気	Haste makes waste.
急がば回れ	More haste less speed.
毒を以て毒を制す	Set a thief to catch a thief.
塵も積もれば山となる	Many a little makes a mickle.
一を聞いて十を知る	A word to the wise is sufficient.
転ばぬ先の杖	Prevention is better than cure.
どんぐりの背比べ	The pot calls the kettle black.
安物買いの銭失い	Penny wise and pound foolish.
