アルジェリア	あるじぇりあ
アンゴラ	あんごら
ウガンダ	うがんだ
エジプト	えじぷと
エチオピア	えちおぴあ
エリトリア	えりとりあ
ガーナ	がーな
カーボベルデ	かーぼべるで
ガボン	がぼん
カメルーン	かめるーん
ガンビア	がんびあ
ギニア	ぎにあ
ギニアビサウ	ぎにあびさう
ケニア	けにあ
コートジボワール	こーとじぼわーる
コモロ	こもろ
コンゴ共和国	こんごきょうわこく
コンゴ民主主義共和国	こんごみんしゅしゅぎきょうわこく
サントメ・プリンシペ	さんとめ・ぷりんしぺ
ザンビア	ざんびあ
シエラレオネ	しえられおね
ジブチ	じぶち
ジンバブエ	じんばぶえ
スーダン	すーだん
スワジランド	すわじらんど
セーシェル	せーしぇる
赤道ギニア	せきどうぎにあ
セネガル	せねがる
ソマリア	そまりあ
タンザニア	たんざにあ
チャド	ちゃど
中央アフリカ	ちゅうおうあふりか
チュニジア	ちゅにじあ
トーゴ	とーご
ナイジェリア	ないじぇりあ
ナミビア	なみびあ
ニジェール	にじぇーる
ブルキナファソ	ぶるきなふぁそ
ブルンジ	ぶるんじ
ベナン	べなん
ボツワナ	ぼつわな
マダガスカル	まだがすかる
マラウイ	まらうい
マリ	まり
南アフリカ共和国	みなみあふりかきょうわこく
南スーダン	みなみすーだん
モーリシャス	もーりしゃす
モーリタニア	もーりたにあ
モザンビーク	もざんびーく
モロッコ	もろっこ
リビア	りびあ
リベリア	りべりあ
ルワンダ	るわんだ
レソト	れそと
