1 H	すいそ
2 He	ヘリウム
3 Li	リチウム
5 B	ホウそ
6 C	たんそ
7 N	ちっそ
8 O	さんそ
9 F	フッそ
10 Ne	ネオン
11 Na	ナトリウム
12 Mg	マグネシウム
13 Al	アルミニウム
14 Si	ケイそ
15 P	リン
16 S	いおう
17 Cl	えんそ
18 Ar	アルゴン
19 K	カリウム
20 Ca	カルシウム
22 Ti	チタン
23 V	バナジウム
24 Cr	クロム
25 Mn	マンガン
26 Fe	てつ
27 Co	コバルト
28 Ni	ニッケル
29 Cu	どう
30 Zn	あえん
31 Ga	ガリウム
32 Ge	ゲルマニウム
33 As	ヒそ
35 Br	しゅうそ
42 Mo	モリブデン
45 Rh	ロジウム
46 Pd	パラジウム
47 Ag	ぎん
48 Cd	カドミウム
50 Sn	スズ
53 I	ヨウそ
54 Xe	キセノン
55 Cs	セシウム
56 Ba	バリウム
60 Nd	ネオジム
74 W	タングステン
77 Ir	イリジウム
78 Pt	はっきん
79 Au	きん
80 Hg	すいぎん
82 Pb	なまり
92 U	ウラン
94 Pu	プルトニウム
113 Nh	ニホニウム
